text,label,is_clickbait,doc_id
"4 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",clickbait,1,27191
28 Coach explains new defensive tactics after the game,sports,0,10559
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it (Berlin)",clickbait,1,5171
88 Open-source libraries accelerate machine learning workflows analitikų teigimu,tech,0,39466
31 Local team wins national championship in overtime,sports,0,9361
85 Local team wins national championship in overtime,sports,0,5120
Top 7 secrets companies don't want you to know — Number 5 is shocking (London),clickbait,1,14144
66 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0,40923
79 Didelė saugumo spraga paveikė milijonus vartotojų dėl rinkos reakcijos,tech,0,37918
10 Kaip pagreitinti kompiuterį paprastais triukais,tech,0,31393
54 Major security breach affects millions of users worldwide po pranešimo (Paris),tech,0,19326
93 Star player signs a multi-year contract with club,sports,0,11035
91 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,16586
41 She did X — what happens next will shock you (Paris),clickbait,1,45514
62 Coach explains new defensive tactics after the game,sports,0,26926
Apple unveils a new iPhone with advanced camera and AI features (Berlin),tech,0,1637
"24 Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1,10067
16 Treneris aiškino naują gynybos taktiką po rungtynių,sports,0,11445
Didelė saugumo spraga paveikė milijonus vartotojų — analysts say (Vilnius),tech,0,1708
You won't believe what happened next — You won't believe it (London),clickbait,1,46157
42 Start-up raises $50 million to scale its AI platform,tech,0,42654
74 This trick will change your life forever,clickbait,0,42156
She did X — what happens next will shock you — Find out why,clickbait,1,8
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose in a surprise move (Madrid),sports,0,24541
65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0,20061
"14 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",clickbait,1,43961
9 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,30739
74 Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,2406
Treneris aiškino naują gynybos taktiką po rungtynių dėl rinkos reakcijos (London),sports,0,5891
"45 Central bank cuts rates, markets rally on dovish guidance in a surprise move",finance,0,48053
Šis triukas pakeis jūsų gyvenimą amžiams — Number 5 is shocking (New York),clickbait,1,1738
29 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,8901
23 Analysts predict record profits for the banking sector dėl rinkos reakcijos (London),finance,0,3328
10 Žvaigždė pasirašė daugiametę sutartį su klubu amid concerns (New York),sports,0,47687
7 Startuolis pritraukė 50 mln. USD DI platformos plėtrai po pranešimo (Paris),tech,0,34099
Local team wins national championship in overtime after report,sports,0,2020
19 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (New York),tech,0,48609
7 Messi scores a stunning goal in the Champions League match,sports,0,14059
31 Kaip pagreitinti kompiuterį paprastais triukais,tech,0,9177
Apple unveils a new iPhone with advanced camera and AI features — analysts say (Kaunas),tech,0,20269
33 This trick will change your life forever,clickbait,1,2156
38 Top 7 secrets companies don't want you to know (London),clickbait,0,5642
62 10 reasons you should never buy this gadget (Berlin),clickbait,1,37336
29 You won't believe what happened next,clickbait,1,14288
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus dėl rinkos reakcijos,tech,0,26
31 Treneris aiškino naują gynybos taktiką po rungtynių amid concerns (London),sports,0,17125
49 Top 7 secrets companies don't want you to know,clickbait,0,7349
Coach explains new defensive tactics after the game po pranešimo (Kaunas),sports,0,14273
92 Local team wins national championship in overtime,sports,0,906
23 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Kaunas),tech,0,15081
38 Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,47419
29 Coach explains new defensive tactics after the game,sports,0,9941
28 Transfer rumors suggest a record deal for the young striker,sports,0,2846
58 Apple unveils a new iPhone with advanced camera and AI features,tech,0,45728
55 You won't believe what happened next,clickbait,0,5102
"59 Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1,2767
96 Didelė saugumo spraga paveikė milijonus vartotojų after report,tech,0,30560
87 10 reasons you should never buy this gadget,clickbait,0,28092
Start-up raises $50 million to scale its AI platform (New York),tech,0,1871
92 Treneris aiškino naują gynybos taktiką po rungtynių (Paris),sports,0,32044
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (Vilnius),sports,0,1247
Apple unveils a new iPhone with advanced camera and AI features (London),tech,0,4817
Coach explains new defensive tactics after the game — analysts say (Vilnius),sports,0,44417
"58 Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1,6126
23 10 reasons you should never buy this gadget,clickbait,1,1895
Major security breach affects millions of users worldwide after report (New York),tech,0,33467
Stock market falls amid inflation concerns dėl rinkos reakcijos,finance,0,3971
