text,label,is_clickbait
Transfer rumors suggest a record deal for the young striker analitikų teigimu,sports,0
Messi scores a stunning goal in the Champions League match (Kaunas),sports,0
How to speed up your computer with simple tweaks,tech,0
Coach explains new defensive tactics after the game,sports,0
"Central bank cuts rates, markets rally on dovish guidance (Vilnius)",finance,0
"Central bank cuts rates, markets rally on dovish guidance",finance,0
"Negalėsite patikėti, kas įvyko toliau",clickbait,1
You won't believe what happened next — You won't believe it,clickbait,1
She did X — what happens next will shock you — Find out why,clickbait,1
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,tech,0
Analysts predict record profits for the banking sector,finance,0
74 Coach explains new defensive tactics after the game,sports,0
"10 priežasčių, kodėl niekada nepirkti šio daikto",clickbait,1
Earnings beat expectations as revenue grows in cloud segment,finance,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
How to speed up your computer with simple tweaks,tech,0
50 10 reasons you should never buy this gadget,clickbait,1
Top 7 secrets companies don't want you to know,clickbait,0
Top 7 secrets companies don't want you to know,clickbait,1
Start-up raises $50 million to scale its AI platform (Madrid),tech,0
Treneris aiškino naują gynybos taktiką po rungtynių,sports,0
Kaip pagreitinti kompiuterį paprastais triukais — analysts say,tech,0
Top 7 secrets companies don't want you to know — Read more (Berlin),clickbait,1
Earnings beat expectations as revenue grows in cloud segment po pranešimo (London),finance,0
10 reasons you should never buy this gadget,clickbait,1
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus dėl rinkos reakcijos,tech,0
Apple unveils a new iPhone with advanced camera and AI features,tech,0
10 Apple unveils a new iPhone with advanced camera and AI features (Madrid),tech,0
"Negalėsite patikėti, kas įvyko toliau",clickbait,1
Kaip pagreitinti kompiuterį paprastais triukais,tech,0
10 reasons you should never buy this gadget (Madrid),clickbait,0
You won't believe what happened next,clickbait,0
This trick will change your life forever,clickbait,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (Kaunas),sports,0
Local team wins national championship in overtime,sports,0
Kaip pagreitinti kompiuterį paprastais triukais,tech,0
10 reasons you should never buy this gadget,clickbait,1
She did X — what happens next will shock you — Number 5 is shocking,clickbait,1
Top 7 secrets companies don't want you to know,clickbait,0
Apple unveils a new iPhone with advanced camera and AI features,tech,0
Messi scores a stunning goal in the Champions League match analitikų teigimu,sports,0
Apple unveils a new iPhone with advanced camera and AI features,tech,0
Star player signs a multi-year contract with club,sports,0
Top 7 secrets companies don't want you to know,clickbait,0
Major security breach affects millions of users worldwide dėl rinkos reakcijos,tech,0
Top 7 secrets companies don't want you to know,clickbait,0
How to speed up your computer with simple tweaks,tech,0
This trick will change your life forever — Number 5 is shocking,clickbait,1
Kaip pagreitinti kompiuterį paprastais triukais,tech,0
Major security breach affects millions of users worldwide (Vilnius),tech,0
Analysts predict record profits for the banking sector,finance,0
Analysts predict record profits for the banking sector po pranešimo (London),finance,0
Earnings beat expectations as revenue grows in cloud segment,finance,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose — analysts say,sports,0
Analysts predict record profits for the banking sector,finance,0
"Central bank cuts rates, markets rally on dovish guidance",finance,0
Transfer rumors suggest a record deal for the young striker,sports,0
Treneris aiškino naują gynybos taktiką po rungtynių,sports,0
Start-up raises $50 million to scale its AI platform (Madrid),tech,0
10 reasons you should never buy this gadget,clickbait,0
10 reasons you should never buy this gadget,clickbait,0
Open-source libraries accelerate machine learning workflows (Kaunas),tech,0
Transfer rumors suggest a record deal for the young striker,sports,0
Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą po pranešimo,sports,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0
Startuolis pritraukė 50 mln. USD DI platformos plėtrai (Paris),tech,0
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus dėl rinkos reakcijos,tech,0
Analysts predict record profits for the banking sector,finance,0
Analysts predict record profits for the banking sector (London),finance,0
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0
Transfer rumors suggest a record deal for the young striker,sports,0
Didelė saugumo spraga paveikė milijonus vartotojų,tech,0
10 reasons you should never buy this gadget,clickbait,0
Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,sports,0
Open-source libraries accelerate machine learning workflows (Kaunas),tech,0
Local team wins national championship in overtime,sports,0
98 10 reasons you should never buy this gadget (Madrid),clickbait,0
She did X — what happens next will shock you — Number 5 is shocking (Kaunas),clickbait,1
Start-up raises $50 million to scale its AI platform,tech,0
Top 7 secrets companies don't want you to know,clickbait,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
Earnings beat expectations as revenue grows in cloud segment,finance,0
10 reasons you should never buy this gadget,clickbait,0
Messi įmušė įspūdingą įvartį Lygų taurėje (Kaunas),sports,0
Apple unveils a new iPhone with advanced camera and AI features,tech,0
Coach explains new defensive tactics after the game,sports,0
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis — analysts say,tech,0
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte",clickbait,1
45 Major security breach affects millions of users worldwide,tech,0
10 reasons you should never buy this gadget,clickbait,0
You won't believe what happened next (London),clickbait,1
Earnings beat expectations as revenue grows in cloud segment,finance,0
"Ji padarė X — kas nutiks toliau, pribloškia — Read more",clickbait,1
Earnings beat expectations as revenue grows in cloud segment,finance,0
Coach explains new defensive tactics after the game,sports,0
Star player signs a multi-year contract with club,sports,0
Earnings beat expectations as revenue grows in cloud segment,finance,0
Major security breach affects millions of users worldwide,tech,0
"Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1
Apple unveils a new iPhone with advanced camera and AI features,tech,0
84 This trick will change your life forever,clickbait,1
She did X — what happens next will shock you (Berlin),clickbait,0
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus analitikų teigimu,tech,0
She did X — what happens next will shock you,clickbait,0
Apple unveils a new iPhone with advanced camera and AI features,tech,0
Žvaigždė pasirašė daugiametę sutartį su klubu in a surprise move,sports,0
Investors hedge inflation risk using index-linked bonds,finance,0
Top 7 secrets companies don't want you to know (Madrid),clickbait,1
Start-up raises $50 million to scale its AI platform,tech,0
Transfer rumors suggest a record deal for the young striker after report,sports,0
Stock market falls amid inflation concerns,finance,0
This trick will change your life forever,clickbait,0
"Central bank cuts rates, markets rally on dovish guidance",finance,0
Analysts predict record profits for the banking sector,finance,0
Earnings beat expectations as revenue grows in cloud segment,finance,0
Messi scores a stunning goal in the Champions League match,sports,0
You won't believe what happened next,clickbait,0
63 This trick will change your life forever,clickbait,0
Local team wins national championship in overtime,sports,0
Open-source libraries accelerate machine learning workflows (Kaunas),tech,0
Žvaigždė pasirašė daugiametę sutartį su klubu dėl rinkos reakcijos,sports,0
96 This trick will change your life forever,clickbait,0
32 Open-source libraries accelerate machine learning workflows,tech,0
Coach explains new defensive tactics after the game (London),sports,0
Coach explains new defensive tactics after the game,sports,0
10 reasons you should never buy this gadget,clickbait,1
Start-up raises $50 million to scale its AI platform,tech,0
Messi scores a stunning goal in the Champions League match,sports,0
"Negalėsite patikėti, kas įvyko toliau",clickbait,1
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",clickbait,1
This trick will change your life forever,clickbait,1
This trick will change your life forever,clickbait,0
You won't believe what happened next,clickbait,0
"Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1
Messi įmušė įspūdingą įvartį Lygų taurėje in a surprise move (Paris),sports,0
68 Star player signs a multi-year contract with club,sports,0
She did X — what happens next will shock you,clickbait,0
Stock market falls amid inflation concerns,finance,0
Kaip pagreitinti kompiuterį paprastais triukais,tech,0
Star player signs a multi-year contract with club,sports,0
Local team wins national championship in overtime,sports,0
Didelė saugumo spraga paveikė milijonus vartotojų,tech,0
Top 7 secrets companies don't want you to know (Kaunas),clickbait,0
Apple unveils a new iPhone with advanced camera and AI features,tech,0
Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,sports,0
Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
This trick will change your life forever,clickbait,0
10 reasons you should never buy this gadget,clickbait,0
She did X — what happens next will shock you,clickbait,0
Start-up raises $50 million to scale its AI platform dėl rinkos reakcijos,tech,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (Kaunas),sports,0
Apple unveils a new iPhone with advanced camera and AI features,tech,0
Transfer rumors suggest a record deal for the young striker,sports,0
10 Stock market falls amid inflation concerns,finance,0
Didelė saugumo spraga paveikė milijonus vartotojų,tech,0
Messi scores a stunning goal in the Champions League match,sports,0
This trick will change your life forever,clickbait,1
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
Star player signs a multi-year contract with club,sports,0
Treneris aiškino naują gynybos taktiką po rungtynių,sports,0
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,tech,0
Treneris aiškino naują gynybos taktiką po rungtynių (Berlin),sports,0
This trick will change your life forever,clickbait,0
"Negalėsite patikėti, kas įvyko toliau — Find out why",clickbait,1
Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,tech,0
How to speed up your computer with simple tweaks as markets react,tech,0
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0
39 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,sports,0
10 reasons you should never buy this gadget,clickbait,0
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte",clickbait,1
Šis triukas pakeis jūsų gyvenimą amžiams,clickbait,1
10 reasons you should never buy this gadget,clickbait,1
"Negalėsite patikėti, kas įvyko toliau (New York)",clickbait,1
Didelė saugumo spraga paveikė milijonus vartotojų,tech,0
10 reasons you should never buy this gadget,clickbait,1
Treneris aiškino naują gynybos taktiką po rungtynių,sports,0
Didelė saugumo spraga paveikė milijonus vartotojų,tech,0
Transfer rumors suggest a record deal for the young striker,sports,0
Treneris aiškino naują gynybos taktiką po rungtynių,sports,0
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte",clickbait,1
Top 7 secrets companies don't want you to know,clickbait,0
Earnings beat expectations as revenue grows in cloud segment,finance,0
This trick will change your life forever,clickbait,1
Apple unveils a new iPhone with advanced camera and AI features,tech,0
44 How to speed up your computer with simple tweaks,tech,0
How to speed up your computer with simple tweaks,tech,0
Treneris aiškino naują gynybos taktiką po rungtynių,sports,0
Messi įmušė įspūdingą įvartį Lygų taurėje (Kaunas),sports,0
35 Messi scores a stunning goal in the Champions League match po pranešimo,sports,0
Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0
Analysts predict record profits for the banking sector,finance,0
Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0
Stock market falls amid inflation concerns amid concerns,finance,0
You won't believe what happened next,clickbait,0
Major security breach affects millions of users worldwide,tech,0
Top 7 secrets companies don't want you to know,clickbait,0
Star player signs a multi-year contract with club dėl rinkos reakcijos,sports,0
Transfer rumors suggest a record deal for the young striker,sports,0
57 Start-up raises $50 million to scale its AI platform (Paris),tech,0
Didelė saugumo spraga paveikė milijonus vartotojų,tech,0
Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0
Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0
Šis triukas pakeis jūsų gyvenimą amžiams — You won't believe it,clickbait,1
Analysts predict record profits for the banking sector as markets react,finance,0
Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0
Didelė saugumo spraga paveikė milijonus vartotojų dėl rinkos reakcijos,tech,0
96 How to speed up your computer with simple tweaks,tech,0
Messi scores a stunning goal in the Champions League match — analysts say,sports,0
Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0
Transfer rumors suggest a record deal for the young striker,sports,0
This trick will change your life forever (London),clickbait,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (London),sports,0
Major security breach affects millions of users worldwide,tech,0
Investors hedge inflation risk using index-linked bonds po pranešimo (New York),finance,0
Didelė saugumo spraga paveikė milijonus vartotojų (Paris),tech,0
You won't believe what happened next,clickbait,0
Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0
Top 7 secrets companies don't want you to know,clickbait,1
Coach explains new defensive tactics after the game,sports,0
Investors hedge inflation risk using index-linked bonds,finance,0
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,tech,0
Earnings beat expectations as revenue grows in cloud segment after report,finance,0
Coach explains new defensive tactics after the game analitikų teigimu,sports,0
Kaip pagreitinti kompiuterį paprastais triukais,tech,0
You won't believe what happened next,clickbait,0
Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0
"Central bank cuts rates, markets rally on dovish guidance",finance,0
Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0
She did X — what happens next will shock you,clickbait,1
84 Treneris aiškino naują gynybos taktiką po rungtynių dėl rinkos reakcijos,sports,0
Start-up raises $50 million to scale its AI platform,tech,0
Investors hedge inflation risk using index-linked bonds analitikų teigimu,finance,0
Transfer rumors suggest a record deal for the young striker,sports,0
This trick will change your life forever — You won't believe it,clickbait,1
Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0
Earnings beat expectations as revenue grows in cloud segment,finance,0
Kaip pagreitinti kompiuterį paprastais triukais,tech,0
Open-source libraries accelerate machine learning workflows,tech,0
Open-source libraries accelerate machine learning workflows (Paris),tech,0
Žvaigždė pasirašė daugiametę sutartį su klubu (Berlin),sports,0
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose analitikų teigimu,sports,0
This trick will change your life forever,clickbait,0
Stock market falls amid inflation concerns,finance,0
"10 priežasčių, kodėl niekada nepirkti šio daikto — Number 5 is shocking",clickbait,1
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0
Major security breach affects millions of users worldwide,tech,0
Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0
30 Treneris aiškino naują gynybos taktiką po rungtynių,sports,0
