doc_id,text
2246,2 Messi įmušė įspūdingą įvartį Lygų taurėje
33321,84 Open-source libraries accelerate machine learning workflows
44637,28 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą dėl rinkos reakcijos (Vilnius)
34143,Investors hedge inflation risk using index-linked bonds dėl rinkos reakcijos (Vilnius)
6302,"92 Negalėsite patikėti, kas įvyko toliau — Find out why"
49785,56 Messi įmušė įspūdingą įvartį Lygų taurėje
29396,"100 Central bank cuts rates, markets rally on dovish guidance"
28784,77 Startuolis pritraukė 50 mln. USD DI platformos plėtrai po pranešimo
1328,90 Earnings beat expectations as revenue grows in cloud segment as markets react
41312,9 Žvaigždė pasirašė daugiametę sutartį su klubu (Paris)
42784,9 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą
14065,This trick will change your life forever — Find out why (London)
10908,3 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus analitikų teigimu (Paris)
479,14 Startuolis pritraukė 50 mln. USD DI platformos plėtrai
5477,26 How to speed up your computer with simple tweaks
21095,87 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis amid concerns
28988,97 Start-up raises $50 million to scale its AI platform
33959,71 Start-up raises $50 million to scale its AI platform analitikų teigimu
216,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (London)
31650,78 Messi įmušė įspūdingą įvartį Lygų taurėje
